indicator;ISO Country code;population;surface area (Km2);;GINI index;happy planet index;human development index;world happiness report score;sustainable economic development assessment (SEDA);;GDP 
(billions PPP);GDP per capita (PPP);GDP growth
(annual %);health expenditure 
% of GDP;health expenditure 
per person;education expenditure
% of GDP;education expenditure 
per person ;school life expectancy (YEARS);unemployment (%);government spending score;government expenditure (% of GDP);;political rights score ;civil liberties score ;political stability & absence of violence;government effectiveness;regulatory quality;rule of law;control of corruption;judicial effectiveness score;government integrity score;property rights score;tax burden score;overall economic freedom score;financial freedom score;women MPs (% of all MPs)
source;FAO;World Bank Data;CIA World Factbook;;CIA World Factbook;Happy Planet Index;UNDP;World Happiness Report;Boston Consulting Group (BCG);;Heritage Foundation;Heritage Foundation;Heritage Foundation;World Bank;World Bank;World Bank;our calcs;CIA World Factbook;Heritage Foundation;Heritage Foundation;Heritage Foundation;;Freedom House;Freedom House;World Bank;World Bank;World Bank;World Bank;World Bank;Heritage Foundation;Heritage Foundation;Heritage Foundation;Heritage Foundation;Heritage Foundation;Heritage Foundation;World Bank
Albania;ALB;2900000.00;27398.00;;29.00;36.80;0.79;4.64;53.10;;34.20;11840.00;2.60;6.82;774.00;-;-;16.00;16.30;72.70;30.10;;3.00;3.00;0.40;0.08;0.22;-0.40;-0.42;25.40;39.90;54.10;85.10;64.50;70.00;27.90
Algeria;DZA;41000000.00;2381740.00;;35.30;33.30;0.75;5.25;45.80;;612.50;15027.00;3.70;7.06;1031.00;-;-;14.00;11.20;45.90;42.50;;6.00;5.00;-0.96;-0.60;-1.20;-0.86;-0.61;35.20;29.00;27.80;74.00;44.70;30.00;25.80
Andorra;AND;77000.00;468.00;;-;-;0.86;-;-;;-;-;-;11.97;5949.00;3.00;-;-;-;-;-;;1.00;1.00;1.45;1.94;1.21;1.60;1.24;-;-;-;-;-;-;32.10
Angola;AGO;30000000.00;1246700.00;;42.70;-;0.58;-;28.40;;187.30;6844.00;3.00;2.95;196.00;-;-;10.00;6.60;69.10;32.10;;6.00;6.00;-0.29;-1.03;-1.04;-1.10;-1.41;25.40;18.90;36.00;82.40;48.60;40.00;38.20
Antigua & Barbuda;ATG;102000.00;442.60;;-;-;0.78;-;-;;-;-;-;4.84;1105.00;-;-;14.00;-;-;-;;2.00;2.00;0.76;0.01;0.25;0.44;0.24;-;-;-;-;-;-;11.10
Argentina;ARG;44000000.00;2736690.00;;41.70;35.20;0.83;6.04;57.30;;874.10;20048.00;1.20;2.95;1390.00;5.36;656.52;17.00;6.60;55.60;38.50;;2.00;2.00;0.18;0.16;-0.29;-0.25;-0.26;44.50;32.60;40.80;65.70;52.30;60.00;38.90
Armenia;ARM;3000000.00;28203.00;;31.50;25.70;0.76;4.29;51.70;;25.80;8621.00;3.00;10.14;883.00;2.25;89.77;13.00;16.80;80.00;25.80;;5.00;4.00;-0.71;-0.10;0.28;-0.16;-0.56;47.40;40.50;55.30;84.70;68.70;70.00;18.10
Australia;AUS;25000000.00;7682300.00;;30.30;21.20;0.94;7.26;78.90;;1187.30;48899.00;2.50;9.45;4492.00;5.19;3236.47;20.00;5.70;61.20;36.00;;1.00;1.00;0.90;1.54;1.93;1.68;1.80;93.40;77.40;78.70;63.00;80.90;90.00;28.70
Austria;AUT;9000000.00;82445.00;;30.50;30.50;0.91;7.29;80.30;;417.20;48005.00;0.90;10.32;5138.00;5.45;2817.37;16.00;6.10;19.40;51.80;;1.00;1.00;1.04;1.46;1.44;1.81;1.53;80.90;73.50;83.50;49.90;71.80;70.00;30.60
Azerbaijan;AZE;10000000.00;82629.00;;33.70;-;0.76;5.15;51.10;;165.50;17439.00;1.10;6.68;1191.00;2.63;207.78;13.00;5.10;59.40;36.80;;7.00;6.00;-0.76;-0.16;-0.25;-0.56;-0.88;36.80;39.90;53.60;87.50;64.30;60.00;16.80
Bahamas;BHS;400000.00;10010.00;;-;-;0.81;-;60.40;;9.00;24555.00;0.50;7.36;1699.00;-;-;-;15.30;82.90;23.80;;1.00;1.00;1.00;0.58;0.12;0.19;1.17;53.50;50.90;46.50;96.50;63.30;60.00;12.80
Bahrain;BHR;1300000.00;760.00;;-;-;0.85;6.23;63.90;;66.90;50704.00;3.20;5.16;2453.00;2.47;616.45;-;1.30;66.40;33.40;;7.00;6.00;-0.95;0.19;0.41;0.45;-0.14;55.10;51.80;62.10;99.90;67.70;80.00;7.50
Bangladesh;BGD;165000000.00;130170.00;;32.10;38.40;0.61;4.31;35.30;;628.40;3891.00;6.40;2.64;88.00;-;-;10.00;4.10;94.20;13.90;;4.00;4.00;-1.25;-0.74;-0.81;-0.67;-0.83;32.60;21.20;32.40;72.70;55.10;30.00;20.30
Barbados;BRB;300000.00;430.00;;-;-;0.80;-;60.80;;4.80;17100.00;0.50;7.46;1234.00;6.23;1013.01;15.00;11.40;39.30;45.00;;1.00;1.00;0.98;0.84;0.49;0.66;1.42;54.40;53.80;51.40;74.00;57.00;60.00;16.70
Belarus;BLR;10000000.00;202900.00;;26.50;21.70;0.81;5.55;59.90;;171.00;18000.00;-3.90;6.11;1085.00;4.82;400.81;16.00;0.50;47.90;41.70;;6.00;6.00;0.03;-0.35;-0.74;-0.82;-0.26;57.30;42.00;53.50;89.80;58.10;10.00;34.50
Belgium;BEL;11000000.00;30278.00;;25.90;23.70;0.92;6.93;77.50;;509.50;45047.00;1.40;10.48;4782.00;6.60;3123.74;20.00;8.30;12.10;54.10;;1.00;1.00;0.42;1.18;1.24;1.34;1.50;69.50;70.90;81.20;44.00;67.50;70.00;38.00
Belize;BLZ;400000.00;22806.00;;-;33.80;0.71;-;48.50;;3.10;8220.00;1.50;6.21;524.00;6.47;313.67;13.00;11.00;65.50;33.90;;1.00;2.00;0.05;-0.64;-0.54;-0.96;-0.27;53.50;34.70;42.10;80.00;57.10;50.00;9.40
Benin;BEN;11000000.00;110622.00;;36.50;13.40;0.52;4.85;34.50;;23.60;2119.00;5.20;3.99;84.00;4.32;40.78;12.00;1.00;85.60;21.90;;2.00;2.00;0.05;-0.64;-0.47;-0.62;-0.55;31.30;30.20;35.50;67.40;56.70;50.00;7.20
Bhutan;BTN;800000.00;38394.00;;38.80;28.60;0.61;-;47.70;;6.50;8227.00;7.70;3.49;287.00;5.90;147.86;13.00;2.40;72.20;30.50;;3.00;4.00;1.13;0.56;-0.33;0.63;1.57;51.60;50.90;60.90;83.00;61.80;30.00;8.50
Bolivia;BOL;11000000.00;1083301.00;;47.00;23.30;0.69;5.65;44.80;;78.70;7219.00;4.80;6.41;446.00;7.29;227.59;-;3.70;46.50;42.20;;3.00;3.00;-0.30;-0.39;-0.90;-1.21;-0.66;11.40;23.10;19.00;85.70;44.10;40.00;53.10
Bosnia and Herzegovina;BIH;3900000.00;51187.00;;33.80;25.30;0.77;5.09;50.20;;42.20;10958.00;2.80;9.38;1102.00;-;-;14.00;25.80;41.50;44.10;;4.00;4.00;-0.38;-0.48;-0.15;-0.21;-0.52;43.70;28.40;39.50;83.50;61.40;60.00;21.40
Botswana;BWA;2200000.00;566730.00;;60.50;16.60;0.72;3.50;44.10;;36.70;17042.00;-0.30;5.97;970.00;-;-;13.00;18.40;63.40;34.90;;3.00;2.00;1.03;0.43;0.46;0.51;0.80;54.70;56.60;57.70;76.10;69.90;70.00;9.50
Brazil;BRA;209000000.00;8358140.00;;49.00;34.30;0.76;6.33;51.60;;3141.30;15242.00;-3.80;8.91;1392.00;5.95;715.40;15.00;11.50;50.70;40.50;;2.00;2.00;-0.41;-0.29;-0.11;-0.28;-0.53;55.50;31.40;55.80;70.60;51.40;50.00;10.70
Brunei;BRN;400000.00;5265.00;;-;-;0.85;-;72.50;;32.50;76884.00;-0.20;2.62;2083.00;3.35;1392.60;15.00;2.00;57.70;37.50;;6.00;5.00;1.19;1.14;0.72;0.65;0.71;57.10;45.40;56.60;85.60;64.20;50.00;9.10
Bulgaria;BGR;7000000.00;108489.00;;40.20;20.40;0.81;-;59.90;;144.60;20327.00;3.00;8.20;1492.00;-;-;15.00;8.00;60.50;36.30;;2.00;2.00;0.37;0.26;0.63;-0.04;-0.16;42.50;38.20;63.60;90.90;68.30;60.00;23.80
Burkina Faso;BFA;19000000.00;273800.00;;39.50;17.90;0.42;4.65;33.40;;32.80;1782.00;4.00;5.45;96.00;4.56;32.09;8.00;3.00;83.70;23.30;;4.00;3.00;-0.92;-0.59;-0.44;-0.40;-0.11;47.10;31.80;42.10;80.60;60.00;40.00;11.00
Burundi;BDI;11000000.00;25680.00;;42.40;15.60;0.42;-;28.30;;7.90;814.00;-4.10;8.24;64.00;-;-;11.00;1.60;78.60;26.70;;7.00;6.00;-1.97;-1.34;-0.84;-1.40;-1.28;21.70;26.20;17.60;71.00;50.90;30.00;36.40
Cabo Verde;CPV;500000.00;4033.00;;-;-;0.65;-;-;;3.50;6662.00;1.80;4.85;310.00;4.96;175.21;13.00;10.50;71.50;30.80;;1.00;1.00;0.90;0.16;-0.20;0.41;0.84;52.00;42.80;42.10;74.00;60.00;60.00;23.60
Cambodia;KHM;16000000.00;176515.00;;37.90;25.60;0.58;4.59;38.50;;59.00;3737.00;6.90;5.98;210.00;1.90;20.79;11.00;0.30;86.50;21.20;;6.00;5.00;0.17;-0.66;-0.50;-1.06;-1.29;24.50;17.70;36.00;89.80;58.70;50.00;20.30
Cameroon;CMR;24000000.00;472710.00;;44.60;16.70;0.56;5.07;32.10;;76.90;3249.00;5.90;5.11;163.00;-;-;12.00;4.50;86.10;21.60;;6.00;6.00;-1.08;-0.82;-0.82;-1.02;-1.18;29.40;23.40;40.60;73.70;51.90;50.00;31.10
Canada;CAN;37000000.00;9093507.00;;32.10;23.90;0.93;-;76.90;;1682.40;46437.00;1.20;10.44;4600.00;-;-;-;7.10;52.30;39.90;;1.00;1.00;1.11;1.85;1.89;1.80;1.92;77.10;78.30;87.50;76.70;77.70;80.00;26.30
Central African Republic;CAF;4900000.00;622984.00;;43.60;-;0.37;3.48;16.10;;3.20;652.00;4.30;4.78;32.00;-;-;7.00;6.90;94.60;13.40;;7.00;7.00;-1.94;-1.77;-1.48;-1.73;-1.17;28.20;24.60;17.90;64.60;49.20;30.00;8.60
Chad;TCD;15000000.00;1259200.00;;43.30;12.80;0.40;4.56;20.40;;29.00;2445.00;1.80;4.58;100.00;-;-;7.00;5.80;90.50;17.70;;7.00;6.00;-1.34;-1.46;-1.21;-1.30;-1.43;24.10;23.10;25.10;44.80;49.30;40.00;12.80
Chile;CHL;18000000.00;743812.00;;50.50;31.70;0.84;6.32;62.60;;438.80;24113.00;2.10;8.07;1903.00;4.72;698.71;16.00;6.60;81.30;25.00;;1.00;1.00;0.38;0.85;1.34;1.01;1.04;63.40;61.20;67.90;78.00;75.20;70.00;15.80
China;CHN;1386000000.00;9326410.00;;46.50;25.70;0.75;5.10;50.80;;21291.80;15399.00;6.90;5.32;762.00;-;-;14.00;4.60;71.60;30.70;;7.00;6.00;-0.25;0.42;-0.15;-0.26;-0.27;65.40;47.30;46.70;70.40;57.80;20.00;24.20
Colombia;COL;49000000.00;1038700.00;;51.10;40.70;0.84;6.16;49.10;;688.80;14130.00;3.10;6.19;853.00;4.67;369.17;14.00;9.90;74.40;29.20;;3.00;3.00;-0.79;-0.07;0.34;-0.36;-0.37;36.40;33.40;60.70;80.30;68.90;70.00;18.70
Comoros;COM;800000.00;2235.00;;55.90;23.10;0.75;-;-;;1.30;1529.00;1.00;8.05;121.00;4.86;41.50;11.00;20.00;77.80;27.20;;3.00;4.00;0.03;-1.57;-1.04;-1.05;-0.68;28.20;27.50;36.70;59.70;56.20;30.00;6.10
Congo (Dem. Rep.);COD;81000000.00;2267048.00;;42.10;-;0.46;4.31;24.80;;65.00;773.00;7.70;4.27;34.00;-;-;9.00;3.60;94.80;13.20;;7.00;6.00;-2.30;-1.63;-1.47;-1.69;-1.42;23.90;27.30;24.10;73.20;52.10;20.00;8.90
Congo (Rep.);COG;4500000.00;341500.00;;48.90;18.80;0.61;4.88;32.70;;29.80;6676.00;2.50;3.43;203.00;-;-;11.00;11.20;33.40;47.10;;7.00;5.00;-0.53;-1.19;-1.33;-1.10;-1.33;28.20;24.60;32.40;60.80;38.90;30.00;11.30
Costa Rica;CRI;4900000.00;51060.00;;48.50;44.70;0.79;7.23;58.90;;80.70;16436.00;3.70;8.15;1286.00;6.86;729.17;15.00;9.00;88.90;19.30;;1.00;1.00;0.51;0.25;0.45;0.45;0.47;57.80;51.80;54.80;79.30;65.60;50.00;35.10
Cote d'Ivoire;CIV;24000000.00;318003.00;;41.50;14.40;0.79;5.04;30.50;;87.80;3609.00;8.60;5.44;190.00;4.58;71.86;9.00;9.30;84.60;22.60;;4.00;4.00;-1.09;-0.74;-0.36;-0.63;-0.52;44.20;36.60;39.40;76.40;62.00;50.00;10.60
Croatia;HRV;4200000.00;55974.00;;30.80;30.20;0.83;5.34;64.50;;95.10;22795.00;1.60;7.40;1656.00;-;-;15.00;13.50;32.50;47.40;;1.00;2.00;0.75;0.58;0.42;0.33;0.19;56.50;40.50;65.90;66.00;61.00;60.00;18.50
Cuba;CUB;11000000.00;109820.00;;-;-;0.78;-;-;;142.00;12390.00;4.30;-;-;-;-;14.00;2.90;0.00;62.40;;7.00;6.00;0.69;-0.20;-1.33;-0.43;0.27;10.00;38.10;29.70;49.00;31.90;10.00;48.90
Cyprus;CYP;800000.00;9241.00;;34.80;30.70;0.87;6.06;65.90;;29.70;34970.00;1.60;6.77;2137.00;-;-;15.00;11.70;52.90;39.60;;1.00;1.00;0.60;0.92;1.03;0.88;0.78;56.70;41.30;71.20;75.20;67.80;60.00;17.90
Czech Republic;CZE;11000000.00;77247.00;;-;27.30;0.89;6.79;71.10;;350.70;33232.00;4.20;7.31;2470.00;-;-;17.00;4.00;48.60;41.40;;1.00;1.00;1.02;1.02;1.23;1.12;0.57;57.90;51.10;73.00;82.90;74.20;80.00;20.00
Denmark;DNK;6000000.00;42434.00;;29.00;32.70;0.93;7.59;82.00;;273.90;47985.00;1.20;10.33;5083.00;-;-;19.00;6.10;10.60;54.60;;1.00;1.00;0.87;1.80;1.62;1.86;2.19;83.60;84.10;84.80;41.40;76.60;80.00;37.40
Djibouti;DJI;1000000.00;23180.00;;40.90;16.40;0.48;-;-;;3.30;3370.00;6.50;4.39;147.00;-;-;6.00;6.60;27.20;49.30;;6.00;5.00;-0.71;-1.03;-0.64;-0.91;-0.64;13.80;29.00;19.00;69.80;45.10;50.00;10.80
Dominica;DMA;100000.00;751.00;;-;-;0.72;-;-;;0.80;11375.00;-4.30;5.43;586.00;-;-;-;-;64.80;34.20;;1.00;1.00;1.04;-0.25;0.13;0.65;0.65;69.20;49.90;48.60;72.90;64.50;30.00;25.00
Dominican Republic;DOM;11000000.00;48320.00;;47.10;30.30;0.74;5.61;48.10;;161.80;16050.00;7.00;6.22;873.00;-;-;13.00;14.40;90.60;17.70;;3.00;3.00;0.16;-0.35;-0.08;-0.42;-0.74;23.10;26.20;51.70;84.60;61.60;40.00;26.80
Ecuador;ECU;17000000.00;276841.00;;45.90;37.00;0.75;5.84;48.10;;183.60;11109.00;0.00;6.77;980.00;-;-;15.00;5.40;52.50;39.80;;3.00;3.00;-0.10;-0.32;-1.00;-0.70;-0.60;23.30;30.20;36.70;79.40;48.50;40.00;38.00
Egypt;EGY;98000000.00;995450.00;;31.80;23.80;0.70;3.93;43.10;;1132.40;12554.00;4.20;7.31;495.00;-;-;13.00;12.00;65.10;34.10;;6.00;6.00;-1.42;-0.62;-0.86;-0.53;-0.54;52.50;32.20;32.70;84.20;53.40;50.00;14.90
El Salvador;SLV;6000000.00;20721.00;;36.00;35.60;0.67;6.34;47.20;;54.80;8909.00;2.40;10.33;578.00;3.45;124.00;13.00;6.30;86.30;21.30;;2.00;3.00;-0.25;-0.37;-0.15;-0.86;-0.51;35.40;25.20;37.30;78.90;63.20;60.00;32.10
Equatorial Guinea;GNQ;800000.00;28051.00;;-;-;0.59;-;-;;31.70;38639.00;-12.20;4.39;790.00;-;-;-;7.30;61.00;36.10;;7.00;7.00;-0.15;-1.44;-1.40;-1.49;-1.83;17.60;26.20;29.80;69.60;42.00;30.00;24.00
Eritrea;ERI;5000000.00;101000.00;;-;-;0.44;-;-;;9.20;1410.00;4.80;5.43;56.00;-;-;5.00;7.30;75.60;28.50;;7.00;7.00;-0.66;-1.73;-2.20;-1.56;-1.20;13.80;23.40;35.50;79.90;41.70;20.00;22.00
Estonia;EST;1300000.00;42388.00;;34.80;17.90;0.87;5.94;70.80;;38.50;29313.00;1.10;6.22;1887.00;-;-;16.00;6.90;52.60;39.80;;1.00;1.00;0.66;1.12;1.64;1.28;1.24;83.90;75.70;80.40;80.70;78.80;80.00;26.70
Eswatini;SWZ;1100000.00;17204.00;;50.40;15.50;0.59;-;-;;11.10;9776.00;1.70;7.04;-;-;-;11.00;25.30;65.20;34.10;;7.00;6.00;-0.30;-0.58;-0.56;-0.29;-0.30;35.30;26.90;55.30;74.80;55.90;40.00;6.20
Ethiopia;ETH;105000000.00;1000000.00;;33.00;26.70;0.46;4.18;32.30;;177.50;1946.00;10.20;4.05;66.00;-;-;8.00;5.70;90.60;17.70;;7.00;6.00;-1.69;-0.70;-1.01;-0.45;-0.56;37.60;37.70;31.10;76.50;52.80;20.00;38.80
Fiji;FJI;900000.00;18274.00;;-;-;0.74;-;49.00;;8.30;9268.00;4.30;3.55;331.00;-;-;-;7.90;68.20;32.60;;3.00;3.00;0.79;0.09;-0.22;-0.25;0.36;47.10;34.80;68.30;81.40;62.00;50.00;16.00
Finland;FIN;6000000.00;303815.00;;27.20;31.30;0.92;7.79;81.30;;231.40;42165.00;0.40;9.45;3669.00;7.15;3569.67;19.00;9.00;2.30;57.10;;1.00;1.00;1.07;1.94;1.82;2.03;2.22;82.70;89.80;89.00;66.50;74.10;80.00;42.00
France;FRA;67000000.00;549970.00;;29.30;30.40;0.90;6.64;73.90;;2733.70;42314.00;1.10;11.07;4542.00;5.52;2373.05;16.00;10.00;2.70;57.00;;1.00;2.00;0.21;1.35;1.16;1.44;1.26;72.70;65.10;84.00;47.30;63.90;70.00;39.00
Gabon;GAB;1900000.00;257667.00;;42.20;17.50;0.70;4.78;40.90;;35.90;19057.00;4.00;2.68;481.00;-;-;-;18.50;84.60;22.60;;7.00;5.00;-0.09;-0.94;-0.79;-0.68;-0.81;27.80;33.40;29.90;74.30;58.00;40.00;17.10
Gambia, The;GMB;2100000.00;10120.00;;50.20;-;0.46;-;-;;3.40;1667.00;4.40;6.65;-;-;-;9.00;29.70;74.00;29.40;;4.00;5.00;-;-;-;-;-;38.80;36.80;34.40;71.90;52.30;50.00;10.30
Georgia;GEO;3700000.00;69700.00;;40.10;31.10;0.78;4.45;55.40;;37.20;10044.00;2.80;7.93;718.00;-;-;15.00;11.60;73.30;29.80;;3.00;3.00;-0.37;0.57;1.05;0.33;0.74;64.20;61.80;62.80;87.00;76.20;60.00;16.00
Germany;DEU;83000000.00;348672.00;;27.00;29.80;0.94;7.07;79.60;;3980.30;48111.00;1.50;11.15;5357.00;4.93;2369.04;17.00;4.30;41.30;44.20;;1.00;1.00;0.58;1.72;1.78;1.61;1.84;78.00;75.30;81.00;61.30;74.20;70.00;37.00
Ghana;GHA;29000000.00;227533.00;;42.30;21.40;0.59;5.48;40.20;;121.70;4412.00;3.50;5.91;249.00;6.16;89.30;12.00;5.80;79.00;26.50;;1.00;2.00;0.09;-0.11;-0.14;0.13;-0.23;43.70;32.90;48.90;83.50;56.00;60.00;12.70
Greece;GRC;11000000.00;130647.00;;36.70;23.60;0.87;5.15;64.10;;289.40;26669.00;-0.20;8.38;2204.00;-;-;18.00;23.90;20.90;51.30;;2.00;2.00;-0.13;0.31;0.24;0.08;-0.14;59.00;37.90;52.30;60.40;57.30;40.00;18.30
Grenada;GRD;108000.00;344.00;;-;-;0.77;-;-;;-;-;-;5.00;677.00;-;-;17.00;-;-;-;;1.00;2.00;1.03;-0.18;-0.05;0.44;0.48;-;-;-;-;-;-;33.30
Guatemala;GTM;17000000.00;107159.00;;53.00;34.20;0.65;6.33;42.50;;131.70;7899.00;4.00;5.72;444.00;2.94;108.47;11.00;2.40;95.30;12.50;;4.00;4.00;-0.57;-0.64;-0.26;-1.06;-0.74;33.10;27.30;40.40;79.20;63.40;50.00;12.70
Guinea;GIN;13000000.00;245717.00;;39.40;-;0.46;4.87;28.30;;16.00;1265.00;0.10;4.54;57.00;2.42;17.96;9.00;6.80;80.60;25.40;;5.00;5.00;-0.61;-1.04;-0.84;-1.23;-1.01;28.20;26.90;32.40;65.90;52.20;40.00;21.90
Guinea-Bissau;GNB;1700000.00;28120.00;;-;-;0.46;-;-;;2.90;1730.00;4.80;6.88;100.00;-;-;-;6.50;85.60;21.90;;5.00;5.00;-0.60;-1.77;-1.18;-1.44;-1.56;53.50;27.30;31.10;86.40;56.90;30.00;13.70
Guyana;GUY;800000.00;196849.00;;44.60;-;0.65;-;42.80;;6.00;7873.00;3.00;4.48;336.00;-;-;10.00;11.40;70.80;31.20;;2.00;3.00;-0.04;-0.29;-0.39;-0.29;-0.51;42.50;34.80;42.10;68.40;58.70;30.00;31.90
Haiti;HTI;11000000.00;27560.00;;60.80;28.60;0.50;3.82;24.20;;19.40;1784.00;1.00;6.87;120.00;-;-;-;13.20;85.60;21.90;;5.00;5.00;-0.70;-2.06;-1.32;-1.09;-1.24;42.50;24.60;25.10;80.10;55.80;30.00;2.50
Honduras;HND;9000000.00;111890.00;;47.10;27.20;0.62;6.02;41.90;;43.20;5272.00;3.60;7.59;353.00;-;-;11.00;6.30;76.60;27.90;;4.00;4.00;-0.55;-0.51;-0.44;-1.05;-0.72;34.50;28.20;44.30;82.80;60.60;60.00;25.80
Hungary;HUN;10000000.00;89608.00;;28.20;26.40;0.84;6.07;66.10;;270.30;27482.00;2.90;7.24;1912.00;4.63;657.80;15.00;5.20;29.40;48.50;;3.00;2.00;0.81;0.51;0.65;0.53;0.09;57.10;36.40;57.60;78.60;66.70;70.00;10.10
Iceland;ISL;300000.00;100250.00;;28.00;31.10;0.94;7.48;83.70;;16.50;49136.00;4.00;8.61;4116.00;-;-;20.00;3.80;44.20;43.10;;1.00;1.00;1.37;1.45;1.43;1.61;1.84;72.60;77.30;86.70;72.10;77.00;70.00;47.60
India;IND;1339000000.00;2973193.00;;35.20;29.20;0.64;4.05;40.00;;8662.40;6616.00;7.30;3.89;238.00;-;-;12.00;3.50;77.70;27.30;;2.00;3.00;-0.83;0.09;-0.25;0.00;-0.24;54.30;47.20;55.40;79.40;54.50;40.00;11.80
Indonesia;IDN;264000000.00;1811569.00;;36.80;35.70;0.69;5.10;46.40;;3032.10;11720.00;4.80;3.35;369.00;3.29;114.80;13.00;5.60;90.70;17.60;;2.00;4.00;-0.51;0.04;-0.11;-0.35;-0.25;45.20;42.80;49.30;83.70;64.20;60.00;19.80
Iran;IRN;81000000.00;1531595.00;;44.50;24.00;0.80;4.72;48.00;;1454.50;18078.00;0.00;7.59;1262.00;2.80;155.22;15.00;11.30;91.10;17.20;;6.00;6.00;-0.93;-0.19;-1.20;-0.68;-0.81;35.30;32.60;32.50;81.00;50.90;10.00;5.90
Iraq;IRQ;38000000.00;437367.00;;-;26.50;0.69;4.46;37.00;;647.20;17944.00;2.40;3.40;481.00;-;-;-;16.00;45.40;42.70;;5.00;6.00;-2.33;-1.27;-1.20;-1.64;-1.37;11.40;23.40;36.70;-;-;-;25.30
Ireland;IRL;4700000.00;68883.00;;31.30;30.00;0.94;7.06;80.30;;324.90;69231.00;7.80;7.76;5335.00;-;-;19.00;8.10;69.60;31.90;;1.00;1.00;1.02;1.29;1.59;1.43;1.55;79.00;79.00;87.70;76.10;80.40;70.00;22.20
